Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.GilbarcoMulti\obj\x86\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Gilbarco\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Gilbarco\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Gilbarco\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging,2,321,259,161,27,20,0,42,216,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Logging\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium,3,1025,767,451,100,128,13,130,803,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti,3,2050,1694,965,248,237,21,119,730,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1,2,964,812,464,123,103,11,49,297,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMultiV1\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.MillenniumMulti\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Millennium\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone,3,787,678,406,94,79,2,30,208,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL,3,795,652,377,89,98,0,45,216,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1,3,956,642,392,95,270,7,44,270,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignone\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PTS,2,731,576,353,120,104,2,51,264,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PTS\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec,3,922,786,472,95,72,0,64,234,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PetrotecCEM01,3,896,736,435,90,112,5,48,239,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PetrotecCEM01\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime,3,846,674,376,83,111,0,61,498,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\obj\Release,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan,3,1200,929,635,114,214,1,57,397,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan2,3,1154,879,611,101,219,1,56,387,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan2\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan2\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan2\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PumalanRelay,3,1313,1001,677,118,230,1,82,446,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PumalanRelay\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PumalanRelay\obj,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PumalanRelay\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PumalanRelay\obj\Release,0,0,0,0,0,0,0,0,0,0,0
