File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneCL\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\NuovoPignoneV1Protocol.cs,900,611,379,95,262,7,27,150,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.NuovoPignoneV1\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\Connector.cs,16,14,8,0,2,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\Protocol.cs,869,757,461,95,65,0,47,114,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Petrotec\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PetrotecCEM01\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PetrotecCEM01\PetrotecCEM01.cs,838,703,420,90,104,5,31,119,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PetrotecCEM01\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\PrimeProtocol.cs,790,643,363,83,103,0,44,378,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Prime\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PTS\PtsConnector.cs,694,561,350,120,99,2,34,144,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.PTS\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\PumalanProtocol.cs,1142,896,620,114,206,1,40,277,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\DEV\Exedron\ASFuelControl.Windows.45\ASFuelControl.Pumalan2\Controller.cs,21,18,12,0,3,0,0,0,0,0
