File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneV1\NuovoPignoneV1Protocol.cs,879,593,369,85,259,7,27,150,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.NuovoPignoneV1\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Prime\Controller.cs,19,16,10,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Prime\PrimeProtocol.cs,621,497,283,61,94,0,30,229,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Prime\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.PTS\PtsConnector.cs,694,561,350,120,99,2,34,144,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.PTS\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan\PumalanProtocol.cs,1096,846,596,101,211,1,39,267,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\Controller.cs,21,18,12,0,3,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\PumalanProtocol.cs,1096,846,596,101,211,1,39,267,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Pumalan2\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\AlertReport.cs,27,17,11,0,1,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\AlertReport.Designer.cs,242,184,160,0,3,0,55,43,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\BalanceReport.cs,27,17,11,0,1,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\BalanceReport.Designer.cs,247,181,159,0,2,0,64,46,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\DeliveryReport.cs,27,17,11,0,1,0,9,23,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\DeliveryReport.Designer.cs,899,715,649,0,3,0,181,85,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceReport.cs,35,26,20,0,3,0,6,15,0,0
D:\dev\Exedron\ASFuelControl.Windows\ASFuelControl.Reports\InvoiceReport.Designer.cs,688,540,488,0,3,0,145,73,0,0
