Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Common,25,1937,1562,918,207,228,2,147,709,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Common\Enumerators,9,272,244,94,9,28,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Common\Properties,2,299,158,86,25,36,1,105,567,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Common\Sales,3,122,109,76,3,13,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Communication,18,4713,3773,2368,347,635,5,305,1001,0,2
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Communication\Enums,5,130,118,50,7,12,0,0,0,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Communication\Properties,2,299,158,86,25,36,1,105,583,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Communication\Service References,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Communication\Service References\FuelFlowService,1,2929,2285,1354,203,445,1,199,412,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Data,18,19257,16946,8923,1848,1932,53,379,2562,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Data\Implementation,6,2935,2491,1601,431,334,52,110,472,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Data\Properties,2,245,128,68,19,30,1,87,537,0,1
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Data\Validators,7,682,478,288,66,111,0,93,277,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.EMR3,3,780,619,374,100,78,10,83,325,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.EMR3\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Elbis,4,1386,819,512,110,163,1,404,1374,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Elbis\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Fafnir,4,474,366,227,36,79,0,29,170,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Fafnir\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.FuelPump,2,880,662,403,122,109,2,109,411,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.FuelPump\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Gilbarco,5,1158,1000,623,162,109,29,49,328,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Gilbarco\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Logging,2,255,196,119,20,17,0,42,216,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Logging\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Millenium,8,1425,1000,624,122,192,29,233,1204,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Millenium\Enums,4,125,86,24,0,24,2,15,194,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.Millenium\Properties,1,37,15,3,0,5,0,17,120,0,0
D:\dev\Exedron\ASFuelControl.Windows\Code\ASFuelControl.NuovoPignone,3,624,510,315,78,74,8,40,282,0,0
